timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1707904801396,1810,HTTP Request,200,OK,Thread Group 3-4,text,true,,183694,140,25,45,https://kristujayanti.edu.in/about/founder.php,1537,0,1000
1707904801316,1938,HTTP Request,200,OK,Thread Group 3-2,text,true,,183702,140,24,44,https://kristujayanti.edu.in/about/founder.php,1665,0,1341
1707904801356,2289,HTTP Request,200,OK,Thread Group 3-3,text,true,,183726,140,23,43,https://kristujayanti.edu.in/about/founder.php,1642,0,1335
1707904801276,2464,HTTP Request,200,OK,Thread Group 3-1,text,true,,183702,140,22,42,https://kristujayanti.edu.in/about/founder.php,1705,0,1408
1707904801438,2401,HTTP Request,200,OK,Thread Group 3-5,text,true,,183710,140,21,41,https://kristujayanti.edu.in/about/founder.php,1751,0,1283
1707904801514,2924,HTTP Request,200,OK,Thread Group 3-7,text,true,,183709,140,20,40,https://kristujayanti.edu.in/about/founder.php,2534,0,1299
1707904801475,3093,HTTP Request,200,OK,Thread Group 3-6,text,true,,183710,140,19,39,https://kristujayanti.edu.in/about/founder.php,2586,0,1299
1707904801555,3507,HTTP Request,200,OK,Thread Group 3-8,text,true,,183709,140,18,38,https://kristujayanti.edu.in/about/founder.php,3138,0,1535
1707904801594,5486,HTTP Request,200,OK,Thread Group 3-9,text,true,,183709,140,17,37,https://kristujayanti.edu.in/about/founder.php,3673,0,2309
1707904801716,5727,HTTP Request,200,OK,Thread Group 3-12,text,true,,183726,140,16,36,https://kristujayanti.edu.in/about/founder.php,5431,0,2381
1707904801635,5910,HTTP Request,200,OK,Thread Group 3-10,text,true,,183710,140,15,35,https://kristujayanti.edu.in/about/founder.php,5195,0,2444
1707904801796,5844,HTTP Request,200,OK,Thread Group 3-14,text,true,,183710,140,14,34,https://kristujayanti.edu.in/about/founder.php,5079,0,2324
1707904801676,6275,HTTP Request,200,OK,Thread Group 3-11,text,true,,183709,140,13,33,https://kristujayanti.edu.in/about/founder.php,5217,0,2447
1707904801757,6253,HTTP Request,200,OK,Thread Group 3-13,text,true,,183717,140,12,32,https://kristujayanti.edu.in/about/founder.php,5463,0,2470
1707904801836,6219,HTTP Request,200,OK,Thread Group 3-15,text,true,,183702,140,11,31,https://kristujayanti.edu.in/about/founder.php,5574,0,2408
1707904801919,6727,HTTP Request,200,OK,Thread Group 3-17,text,true,,183710,140,10,30,https://kristujayanti.edu.in/about/founder.php,6374,0,2715
1707904801877,6809,HTTP Request,200,OK,Thread Group 3-16,text,true,,183709,140,9,29,https://kristujayanti.edu.in/about/founder.php,6559,0,2558
1707904801959,6795,HTTP Request,200,OK,Thread Group 3-18,text,true,,183710,140,8,28,https://kristujayanti.edu.in/about/founder.php,6376,0,2694
1707904801998,6929,HTTP Request,200,OK,Thread Group 3-19,text,true,,183701,140,7,27,https://kristujayanti.edu.in/about/founder.php,6483,0,2660
1707904802078,6863,HTTP Request,200,OK,Thread Group 3-21,text,true,,183710,140,6,26,https://kristujayanti.edu.in/about/founder.php,6413,0,2720
1707904802038,6918,HTTP Request,200,OK,Thread Group 3-20,text,true,,183702,140,5,25,https://kristujayanti.edu.in/about/founder.php,6544,0,2736
1707904802157,6815,HTTP Request,200,OK,Thread Group 3-23,text,true,,183710,140,4,24,https://kristujayanti.edu.in/about/founder.php,6381,0,2753
1707904802118,7057,HTTP Request,200,OK,Thread Group 3-22,text,true,,183716,140,3,23,https://kristujayanti.edu.in/about/founder.php,6376,0,2786
1707904802238,7322,HTTP Request,200,OK,Thread Group 3-25,text,true,,183710,140,2,21,https://kristujayanti.edu.in/about/founder.php,6982,0,3011
1707904802197,7380,HTTP Request,200,OK,Thread Group 3-24,text,true,,183710,140,1,20,https://kristujayanti.edu.in/about/founder.php,6801,0,3031
1707971155836,27043,HTTP Request,200,OK,Thread Group 3-1,text,true,,183718,140,25,61,https://kristujayanti.edu.in/about/founder.php,26882,0,26698
1707971158500,24386,HTTP Request,200,OK,Thread Group 3-8,text,true,,183709,140,24,60,https://kristujayanti.edu.in/about/founder.php,24266,0,24046
1707971156501,26385,HTTP Request,200,OK,Thread Group 3-3,text,true,,183702,140,24,60,https://kristujayanti.edu.in/about/founder.php,26255,0,26017
1707971159699,23422,HTTP Request,200,OK,Thread Group 3-11,text,true,,183717,140,22,57,https://kristujayanti.edu.in/about/founder.php,23023,0,22813
1707971157302,25837,HTTP Request,200,OK,Thread Group 3-5,text,true,,183701,140,21,56,https://kristujayanti.edu.in/about/founder.php,25481,0,25280
1707971158900,24243,HTTP Request,200,OK,Thread Group 3-9,text,true,,183710,140,20,55,https://kristujayanti.edu.in/about/founder.php,23831,0,23649
1707971156101,27043,HTTP Request,200,OK,Thread Group 3-2,text,true,,183702,140,19,54,https://kristujayanti.edu.in/about/founder.php,26679,0,26452
1707971159300,23851,HTTP Request,200,OK,Thread Group 3-10,text,true,,183717,140,18,53,https://kristujayanti.edu.in/about/founder.php,23422,0,23196
1707971162100,21054,HTTP Request,200,OK,Thread Group 3-17,text,true,,183710,140,17,52,https://kristujayanti.edu.in/about/founder.php,20631,0,20421
1707971162901,20254,HTTP Request,200,OK,Thread Group 3-19,text,true,,183694,140,16,51,https://kristujayanti.edu.in/about/founder.php,19886,0,19687
1707971160101,23067,HTTP Request,200,OK,Thread Group 3-12,text,true,,183694,140,15,50,https://kristujayanti.edu.in/about/founder.php,22686,0,22468
1707971160901,22269,HTTP Request,200,OK,Thread Group 3-14,text,true,,183702,140,14,49,https://kristujayanti.edu.in/about/founder.php,21885,0,21685
1707971162501,20674,HTTP Request,200,OK,Thread Group 3-18,text,true,,183709,140,13,48,https://kristujayanti.edu.in/about/founder.php,20291,0,20081
1707971161300,21877,HTTP Request,200,OK,Thread Group 3-15,text,true,,183702,140,12,47,https://kristujayanti.edu.in/about/founder.php,21482,0,21246
1707971165299,17881,HTTP Request,200,OK,Thread Group 3-25,text,true,,183702,140,11,46,https://kristujayanti.edu.in/about/founder.php,17455,0,17350
1707971163300,19887,HTTP Request,200,OK,Thread Group 3-20,text,true,,183702,140,10,45,https://kristujayanti.edu.in/about/founder.php,19504,0,19300
1707971163700,19488,HTTP Request,200,OK,Thread Group 3-21,text,true,,183710,140,9,44,https://kristujayanti.edu.in/about/founder.php,19104,0,18905
1707971157699,25491,HTTP Request,200,OK,Thread Group 3-6,text,true,,183710,140,8,43,https://kristujayanti.edu.in/about/founder.php,25040,0,24841
1707971164501,18705,HTTP Request,200,OK,Thread Group 3-23,text,true,,183717,140,7,42,https://kristujayanti.edu.in/about/founder.php,18253,0,18148
1707971158099,25381,HTTP Request,200,OK,Thread Group 3-7,text,true,,183710,140,6,41,https://kristujayanti.edu.in/about/founder.php,24641,0,24483
1707971160510,22993,HTTP Request,200,OK,Thread Group 3-13,text,true,,183702,140,5,40,https://kristujayanti.edu.in/about/founder.php,22236,0,22037
1707971164902,18602,HTTP Request,200,OK,Thread Group 3-24,text,true,,183716,140,5,40,https://kristujayanti.edu.in/about/founder.php,17853,0,17747
1707971164100,19412,HTTP Request,200,OK,Thread Group 3-22,text,true,,183702,140,3,38,https://kristujayanti.edu.in/about/founder.php,18655,0,18549
1707971156901,26616,HTTP Request,200,OK,Thread Group 3-4,text,true,,183725,140,2,37,https://kristujayanti.edu.in/about/founder.php,25924,0,25682
1707971161699,21821,HTTP Request,200,OK,Thread Group 3-16,text,true,,183709,140,1,36,https://kristujayanti.edu.in/about/founder.php,21130,0,20873
