timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1707905202370,22191,HTTP Request,200,OK,Thread Group 4-1,text,true,,270486,594,1,39,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,21674,0,21634
1707905202370,21674,HTTP Request-0,301,Moved Permanently,Thread Group 4-1,text,true,,1114,196,1,39,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,21674,0,21634
1707905224044,95,HTTP Request-1,301,Moved Permanently,Thread Group 4-1,text,true,,414,197,1,39,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,95,0,44
1707905224139,422,HTTP Request-2,200,OK,Thread Group 4-1,text,true,,268958,201,1,39,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,194,0,89
1707905246708,617,HTTP Request,200,OK,Thread Group 4-3,text,true,,270486,594,18,51,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,224,0,175
1707905246708,224,HTTP Request-0,301,Moved Permanently,Thread Group 4-3,text,true,,1114,196,18,51,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,224,0,175
1707905246932,85,HTTP Request-1,301,Moved Permanently,Thread Group 4-3,text,true,,414,197,18,51,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,85,0,40
1707905247018,307,HTTP Request-2,200,OK,Thread Group 4-3,text,true,,268958,201,18,51,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,162,0,81
1707905246748,636,HTTP Request,200,OK,Thread Group 4-4,text,true,,270478,594,18,51,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,197,0,157
1707905246748,197,HTTP Request-0,301,Moved Permanently,Thread Group 4-4,text,true,,1114,196,18,51,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,197,0,157
1707905246945,80,HTTP Request-1,301,Moved Permanently,Thread Group 4-4,text,true,,414,197,18,51,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,80,0,41
1707905247026,358,HTTP Request-2,200,OK,Thread Group 4-4,text,true,,268950,201,18,51,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,190,0,97
1707905247305,660,HTTP Request,200,OK,Thread Group 4-18,text,true,,270478,594,23,57,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,196,0,153
1707905247305,196,HTTP Request-0,301,Moved Permanently,Thread Group 4-18,text,true,,1114,196,23,57,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,196,0,153
1707905247501,87,HTTP Request-1,301,Moved Permanently,Thread Group 4-18,text,true,,414,197,23,57,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,87,0,40
1707905247589,376,HTTP Request-2,200,OK,Thread Group 4-18,text,true,,268950,201,23,57,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,199,0,99
1707905246667,6030,HTTP Request,200,OK,Thread Group 4-2,text,true,,270494,594,22,40,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,5615,0,196
1707905246667,5615,HTTP Request-0,301,Moved Permanently,Thread Group 4-2,text,true,,1114,196,22,40,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,5615,0,196
1707905252281,96,HTTP Request-1,301,Moved Permanently,Thread Group 4-2,text,true,,414,197,22,40,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,96,0,48
1707905252378,319,HTTP Request-2,200,OK,Thread Group 4-2,text,true,,268966,201,22,40,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,133,0,88
1707905246908,5806,HTTP Request,200,OK,Thread Group 4-8,text,true,,270493,594,21,38,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,5396,0,135
1707905246908,5396,HTTP Request-0,301,Moved Permanently,Thread Group 4-8,text,true,,1114,196,21,38,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,5396,0,135
1707905252303,94,HTTP Request-1,301,Moved Permanently,Thread Group 4-8,text,true,,414,197,21,38,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,94,0,41
1707905252397,317,HTTP Request-2,200,OK,Thread Group 4-8,text,true,,268965,201,21,38,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,168,0,87
1707905246867,5884,HTTP Request,200,OK,Thread Group 4-7,text,true,,270478,594,20,37,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,5435,0,136
1707905246867,5435,HTTP Request-0,301,Moved Permanently,Thread Group 4-7,text,true,,1114,196,20,37,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,5435,0,136
1707905252301,111,HTTP Request-1,301,Moved Permanently,Thread Group 4-7,text,true,,414,197,20,37,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,111,0,49
1707905252412,339,HTTP Request-2,200,OK,Thread Group 4-7,text,true,,268950,201,20,37,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,181,0,91
1707905246946,5884,HTTP Request,200,OK,Thread Group 4-9,text,true,,270478,594,19,34,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,5452,0,128
1707905246946,5452,HTTP Request-0,301,Moved Permanently,Thread Group 4-9,text,true,,1114,196,19,34,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,5452,0,128
1707905252397,87,HTTP Request-1,301,Moved Permanently,Thread Group 4-9,text,true,,414,197,19,34,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,87,0,48
1707905252484,346,HTTP Request-2,200,OK,Thread Group 4-9,text,true,,268950,201,19,34,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,183,0,88
1707905246787,6128,HTTP Request,200,OK,Thread Group 4-5,text,true,,270486,594,18,33,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,218,0,170
1707905246787,218,HTTP Request-0,301,Moved Permanently,Thread Group 4-5,text,true,,1114,196,18,33,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,218,0,170
1707905247005,90,HTTP Request-1,301,Moved Permanently,Thread Group 4-5,text,true,,414,197,18,33,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,90,0,42
1707905247095,5820,HTTP Request-2,200,OK,Thread Group 4-5,text,true,,268958,201,18,33,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,5638,0,81
1707905246987,6150,HTTP Request,200,OK,Thread Group 4-10,text,true,,270493,594,17,32,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,5731,0,142
1707905246987,5731,HTTP Request-0,301,Moved Permanently,Thread Group 4-10,text,true,,1114,196,17,32,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,5731,0,142
1707905252717,93,HTTP Request-1,301,Moved Permanently,Thread Group 4-10,text,true,,414,197,17,32,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,93,0,51
1707905252811,326,HTTP Request-2,200,OK,Thread Group 4-10,text,true,,268965,201,17,32,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,175,0,86
1707905246827,6490,HTTP Request,200,OK,Thread Group 4-6,text,true,,270477,594,16,31,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,182,0,136
1707905246827,182,HTTP Request-0,301,Moved Permanently,Thread Group 4-6,text,true,,1114,196,16,31,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,182,0,136
1707905247009,86,HTTP Request-1,301,Moved Permanently,Thread Group 4-6,text,true,,414,197,16,31,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,86,0,41
1707905247096,6221,HTTP Request-2,200,OK,Thread Group 4-6,text,true,,268949,201,16,31,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,6078,0,88
1707905247026,6501,HTTP Request,200,OK,Thread Group 4-11,text,true,,270477,594,15,24,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,195,0,149
1707905247026,195,HTTP Request-0,301,Moved Permanently,Thread Group 4-11,text,true,,1114,196,15,24,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,195,0,149
1707905247221,105,HTTP Request-1,301,Moved Permanently,Thread Group 4-11,text,true,,414,197,15,24,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,105,0,51
1707905247326,6200,HTTP Request-2,200,OK,Thread Group 4-11,text,true,,268949,201,15,24,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,6050,0,88
1707905247188,6369,HTTP Request,200,OK,Thread Group 4-15,text,true,,270478,594,14,21,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,201,0,142
1707905247188,201,HTTP Request-0,301,Moved Permanently,Thread Group 4-15,text,true,,1114,196,14,21,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,201,0,142
1707905247388,109,HTTP Request-1,301,Moved Permanently,Thread Group 4-15,text,true,,414,197,14,21,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,109,0,63
1707905247498,6059,HTTP Request-2,200,OK,Thread Group 4-15,text,true,,268950,201,14,21,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,5899,0,91
1707905247267,6352,HTTP Request,200,OK,Thread Group 4-17,text,true,,270501,594,13,18,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,193,0,147
1707905247267,193,HTTP Request-0,301,Moved Permanently,Thread Group 4-17,text,true,,1114,196,13,18,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,193,0,147
1707905247460,118,HTTP Request-1,301,Moved Permanently,Thread Group 4-17,text,true,,414,197,13,18,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,118,0,51
1707905247578,6041,HTTP Request-2,200,OK,Thread Group 4-17,text,true,,268973,201,13,18,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,5788,0,121
1707905246629,7096,HTTP Request,200,OK,Thread Group 4-1,text,true,,270494,594,12,17,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,4695,0,213
1707905246629,4695,HTTP Request-0,301,Moved Permanently,Thread Group 4-1,text,true,,1114,196,12,17,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,4695,0,213
1707905251323,85,HTTP Request-1,301,Moved Permanently,Thread Group 4-1,text,true,,414,197,12,17,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,85,0,41
1707905251408,2317,HTTP Request-2,200,OK,Thread Group 4-1,text,true,,268966,201,12,17,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,2082,0,76
1707905247107,6672,HTTP Request,200,OK,Thread Group 4-13,text,true,,270494,594,11,15,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,6210,0,130
1707905247107,6210,HTTP Request-0,301,Moved Permanently,Thread Group 4-13,text,true,,1114,196,11,15,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,6210,0,130
1707905253316,94,HTTP Request-1,301,Moved Permanently,Thread Group 4-13,text,true,,414,197,11,15,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,94,0,49
1707905253410,369,HTTP Request-2,200,OK,Thread Group 4-13,text,true,,268966,201,11,15,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,160,0,108
1707905247068,6716,HTTP Request,200,OK,Thread Group 4-12,text,true,,270470,594,10,14,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,6249,0,153
1707905247068,6249,HTTP Request-0,301,Moved Permanently,Thread Group 4-12,text,true,,1114,196,10,14,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,6249,0,153
1707905253316,113,HTTP Request-1,301,Moved Permanently,Thread Group 4-12,text,true,,414,197,10,14,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,113,0,49
1707905253429,355,HTTP Request-2,200,OK,Thread Group 4-12,text,true,,268942,201,10,14,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,198,0,96
1707905247147,6661,HTTP Request,200,OK,Thread Group 4-14,text,true,,270478,594,9,13,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,6179,0,135
1707905247147,6179,HTTP Request-0,301,Moved Permanently,Thread Group 4-14,text,true,,1114,196,9,13,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,6179,0,135
1707905253326,110,HTTP Request-1,301,Moved Permanently,Thread Group 4-14,text,true,,414,197,9,13,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,110,0,50
1707905253436,372,HTTP Request-2,200,OK,Thread Group 4-14,text,true,,268950,201,9,13,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,152,0,104
1707905247388,6423,HTTP Request,200,OK,Thread Group 4-20,text,true,,270478,594,8,11,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,5950,0,151
1707905247388,5950,HTTP Request-0,301,Moved Permanently,Thread Group 4-20,text,true,,1114,196,8,11,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,5950,0,151
1707905253338,97,HTTP Request-1,301,Moved Permanently,Thread Group 4-20,text,true,,414,197,8,11,http://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,97,0,43
1707905253435,376,HTTP Request-2,200,OK,Thread Group 4-20,text,true,,268950,201,8,11,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,199,0,114
1707905247227,6586,HTTP Request,200,OK,Thread Group 4-16,text,true,,270494,594,7,9,https://kristujayanti.edu.in:443/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg/,6102,0,158
1707905247227,6102,HTTP Request-0,301,Moved Permanently,Thread Group 4-16,text,true,,1114,196,7,9,https://kristujayanti.edu.in/academics/College-Arts-Science-Commerce/Faculty-Sciences/department-cs-pg,6102,0,158
