timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710322665144,555,HTTP Request,200,OK,tanuja 1-1,text,true,,296120,128,2,2,https://kristujayanti.edu.in/home/,317,0,233
1710322665644,506,HTTP Request,200,OK,tanuja 1-2,text,true,,296129,128,2,2,https://kristujayanti.edu.in/home/,271,0,168
1710322666140,451,HTTP Request,200,OK,tanuja 1-3,text,true,,296120,128,1,1,https://kristujayanti.edu.in/home/,248,0,150
1710322666642,513,HTTP Request,200,OK,tanuja 1-4,text,true,,296113,128,2,2,https://kristujayanti.edu.in/home/,250,0,140
1710322667140,907,HTTP Request,200,OK,tanuja 1-5,text,true,,296136,128,2,2,https://kristujayanti.edu.in/home/,202,0,154
1710322667640,544,HTTP Request,200,OK,tanuja 1-6,text,true,,296118,128,2,2,https://kristujayanti.edu.in/home/,248,0,143
1710322668148,798,HTTP Request,200,OK,tanuja 1-7,text,true,,296120,128,2,2,https://kristujayanti.edu.in/home/,186,0,141
1710322668638,512,HTTP Request,200,OK,tanuja 1-8,text,true,,296113,128,2,2,https://kristujayanti.edu.in/home/,255,0,149
1710322669139,741,HTTP Request,200,OK,tanuja 1-9,text,true,,296112,128,2,2,https://kristujayanti.edu.in/home/,228,0,141
1710322669639,562,HTTP Request,200,OK,tanuja 1-10,text,true,,296128,128,1,1,https://kristujayanti.edu.in/home/,231,0,138
